[2025-12-22 13:26:47] [系统托盘溢出窗口。] MouseMove: dx=-1, dy=-2
[2025-12-22 13:26:47] [系统托盘溢出窗口。] MouseMove: dx=-1, dy=-3
[2025-12-22 13:26:47] [系统托盘溢出窗口。] MouseMove: dx=-1, dy=-3
[2025-12-22 13:26:47] [系统托盘溢出窗口。] MouseMove: dx=-1, dy=-2
[2025-12-22 13:26:47] [系统托盘溢出窗口。] MouseMove: dx=-1, dy=-2
[2025-12-22 13:26:47] [系统托盘溢出窗口。] MouseMove: dx=-1, dy=-2
[2025-12-22 13:26:47] [系统托盘溢出窗口。] MouseMove: dx=-1, dy=-3
[2025-12-22 13:26:47] [系统托盘溢出窗口。] MouseMove: dx=-2, dy=-2
[2025-12-22 13:26:47] [系统托盘溢出窗口。] MouseMove: dx=-1, dy=-2
[2025-12-22 13:26:47] [系统托盘溢出窗口。] MouseMove: dx=-2, dy=-2
[2025-12-22 13:26:47] [系统托盘溢出窗口。] MouseMove: dx=-2, dy=-2
[2025-12-22 13:26:48] [系统托盘溢出窗口。] Mouse: Right Click
[2025-12-22 13:26:49] [Input Recorder v2.0] MouseMove: dx=2, dy=3
[2025-12-22 13:26:49] [Input Recorder v2.0] MouseMove: dx=1, dy=3
[2025-12-22 13:26:49] [Input Recorder v2.0] MouseMove: dx=5, dy=4
[2025-12-22 13:26:49] [Input Recorder v2.0] MouseMove: dx=3, dy=3
[2025-12-22 13:26:49] [Input Recorder v2.0] MouseMove: dx=2, dy=3
[2025-12-22 13:26:49] [Input Recorder v2.0] MouseMove: dx=5, dy=3
[2025-12-22 13:26:49] [Input Recorder v2.0] MouseMove: dx=6, dy=5
[2025-12-22 13:26:49] [Input Recorder v2.0] MouseMove: dx=3, dy=2
[2025-12-22 13:26:49] [Input Recorder v2.0] MouseMove: dx=5, dy=1
[2025-12-22 13:26:49] [Input Recorder v2.0] MouseMove: dx=1, dy=2
[2025-12-22 13:26:49] [Input Recorder v2.0] MouseMove: dx=4, dy=0
[2025-12-22 13:26:49] [Input Recorder v2.0] MouseMove: dx=3, dy=1
[2025-12-22 13:26:49] [Input Recorder v2.0] MouseMove: dx=2, dy=0
[2025-12-22 13:26:49] [Input Recorder v2.0] MouseMove: dx=2, dy=0
[2025-12-22 13:26:49] [Input Recorder v2.0] MouseMove: dx=2, dy=1
[2025-12-22 13:26:49] [Input Recorder v2.0] MouseMove: dx=3, dy=3
[2025-12-22 13:26:49] [Input Recorder v2.0] MouseMove: dx=3, dy=1
[2025-12-22 13:26:49] [Input Recorder v2.0] MouseMove: dx=2, dy=1
[2025-12-22 13:26:49] [Input Recorder v2.0] MouseMove: dx=2, dy=2
[2025-12-22 13:26:49] [Input Recorder v2.0] MouseMove: dx=2, dy=1
[2025-12-22 13:26:49] [Input Recorder v2.0] MouseMove: dx=2, dy=1
[2025-12-22 13:26:49] [Input Recorder v2.0] MouseMove: dx=2, dy=1
[2025-12-22 13:26:49] [Input Recorder v2.0] MouseMove: dx=2, dy=2
[2025-12-22 13:26:49] [Input Recorder v2.0] MouseMove: dx=3, dy=2
[2025-12-22 13:26:49] [Input Recorder v2.0] MouseMove: dx=1, dy=4
[2025-12-22 13:26:49] [Input Recorder v2.0] MouseMove: dx=2, dy=1
[2025-12-22 13:26:50] [Input Recorder v2.0] Mouse: Left Click
[2025-12-22 13:26:50] <<< Recording Stopped >>>
