[2025-12-19 02:08:36] MouseMove: dx=4, dy=20
[2025-12-19 02:08:36] MouseMove: dx=3, dy=8
[2025-12-19 02:08:36] MouseMove: dx=0, dy=15
[2025-12-19 02:08:36] MouseMove: dx=0, dy=10
[2025-12-19 02:08:36] MouseMove: dx=0, dy=7
[2025-12-19 02:08:36] MouseMove: dx=-1, dy=6
[2025-12-19 02:08:36] MouseMove: dx=-2, dy=7
[2025-12-19 02:08:36] MouseMove: dx=-3, dy=9
[2025-12-19 02:08:36] MouseMove: dx=-1, dy=1
[2025-12-19 02:08:36] MouseMove: dx=-3, dy=7
[2025-12-19 02:08:36] MouseMove: dx=-3, dy=6
[2025-12-19 02:08:36] MouseMove: dx=-2, dy=4
[2025-12-19 02:08:36] MouseMove: dx=-2, dy=6
[2025-12-19 02:08:36] MouseMove: dx=-2, dy=4
[2025-12-19 02:08:36] MouseMove: dx=-4, dy=6
[2025-12-19 02:08:36] MouseMove: dx=-4, dy=7
[2025-12-19 02:08:36] MouseMove: dx=-2, dy=4
[2025-12-19 02:08:36] MouseMove: dx=-4, dy=9
[2025-12-19 02:08:36] MouseMove: dx=0, dy=3
[2025-12-19 02:08:36] MouseMove: dx=-3, dy=6
[2025-12-19 02:08:36] MouseMove: dx=-1, dy=3
[2025-12-19 02:08:36] MouseMove: dx=0, dy=4
[2025-12-19 02:08:36] MouseMove: dx=0, dy=3
[2025-12-19 02:08:36] MouseMove: dx=-1, dy=3
[2025-12-19 02:08:36] MouseMove: dx=-1, dy=4
[2025-12-19 02:08:36] MouseMove: dx=-1, dy=4
[2025-12-19 02:08:36] MouseMove: dx=0, dy=5
[2025-12-19 02:08:36] MouseMove: dx=0, dy=5
[2025-12-19 02:08:36] MouseMove: dx=0, dy=7
[2025-12-19 02:08:36] MouseMove: dx=0, dy=7
[2025-12-19 02:08:36] MouseMove: dx=0, dy=5
[2025-12-19 02:08:36] MouseMove: dx=0, dy=7
[2025-12-19 02:08:36] MouseMove: dx=1, dy=6
[2025-12-19 02:08:36] MouseMove: dx=0, dy=2
[2025-12-19 02:08:36] MouseMove: dx=1, dy=2
[2025-12-19 02:08:36] MouseMove: dx=0, dy=2
[2025-12-19 02:08:36] MouseMove: dx=0, dy=1
[2025-12-19 02:08:36] MouseMove: dx=0, dy=1
[2025-12-19 02:08:36] MouseMove: dx=0, dy=1
[2025-12-19 02:08:36] MouseMove: dx=-1, dy=1
[2025-12-19 02:08:36] MouseMove: dx=0, dy=1
[2025-12-19 02:08:36] MouseMove: dx=-1, dy=2
[2025-12-19 02:08:36] MouseMove: dx=-1, dy=1
[2025-12-19 02:08:36] MouseMove: dx=-1, dy=0
[2025-12-19 02:08:36] MouseMove: dx=0, dy=1
[2025-12-19 02:08:36] Mouse: Left Click
[2025-12-19 02:08:37] MouseMove: dx=-1, dy=0
[2025-12-19 02:08:37] MouseMove: dx=-1, dy=-1
[2025-12-19 02:08:37] MouseMove: dx=-4, dy=-3
[2025-12-19 02:08:37] MouseMove: dx=-2, dy=-4
[2025-12-19 02:08:37] MouseMove: dx=-2, dy=-1
[2025-12-19 02:08:37] KeyDown: VK=78
[2025-12-19 02:08:37] KeyDown: VK=73
[2025-12-19 02:08:37] KeyDown: VK=72
[2025-12-19 02:08:38] KeyDown: VK=65
[2025-12-19 02:08:38] KeyDown: VK=79
[2025-12-19 02:08:38] KeyDown: VK=32
[2025-12-19 02:08:39] KeyDown: VK=8
[2025-12-19 02:08:39] KeyDown: VK=8
[2025-12-19 02:08:40] MouseMove: dx=-2, dy=-1
[2025-12-19 02:08:40] MouseMove: dx=-7, dy=-2
[2025-12-19 02:08:40] MouseMove: dx=-8, dy=-3
[2025-12-19 02:08:40] MouseMove: dx=-7, dy=-1
[2025-12-19 02:08:40] MouseMove: dx=-11, dy=-3
[2025-12-19 02:08:40] MouseMove: dx=-13, dy=-2
[2025-12-19 02:08:40] MouseMove: dx=-9, dy=-3
[2025-12-19 02:08:40] MouseMove: dx=-14, dy=-4
[2025-12-19 02:08:40] MouseMove: dx=-10, dy=-4
[2025-12-19 02:08:40] MouseMove: dx=-6, dy=-3
[2025-12-19 02:08:40] MouseMove: dx=-3, dy=-3
[2025-12-19 02:08:40] MouseMove: dx=0, dy=-5
[2025-12-19 02:08:40] MouseMove: dx=0, dy=-7
[2025-12-19 02:08:40] MouseMove: dx=9, dy=-16
[2025-12-19 02:08:40] MouseMove: dx=17, dy=-24
[2025-12-19 02:08:40] MouseMove: dx=11, dy=-15
[2025-12-19 02:08:40] MouseMove: dx=31, dy=-35
[2025-12-19 02:08:40] MouseMove: dx=20, dy=-20
[2025-12-19 02:08:40] MouseMove: dx=20, dy=-22
[2025-12-19 02:08:40] MouseMove: dx=12, dy=-15
[2025-12-19 02:08:40] MouseMove: dx=6, dy=-7
[2025-12-19 02:08:40] MouseMove: dx=7, dy=-11
[2025-12-19 02:08:40] MouseMove: dx=7, dy=-11
[2025-12-19 02:08:40] MouseMove: dx=1, dy=-3
[2025-12-19 02:08:40] MouseMove: dx=-1, dy=0
[2025-12-19 02:08:41] MouseMove: dx=-13, dy=1
[2025-12-19 02:08:41] MouseMove: dx=-15, dy=6
[2025-12-19 02:08:41] MouseMove: dx=-32, dy=9
[2025-12-19 02:08:41] MouseMove: dx=-29, dy=11
[2025-12-19 02:08:41] MouseMove: dx=-48, dy=21
[2025-12-19 02:08:41] MouseMove: dx=-43, dy=20
[2025-12-19 02:08:41] MouseMove: dx=-33, dy=16
[2025-12-19 02:08:41] MouseMove: dx=-13, dy=7
[2025-12-19 02:08:41] MouseMove: dx=-13, dy=6
[2025-12-19 02:08:41] MouseMove: dx=-10, dy=5
[2025-12-19 02:08:41] MouseMove: dx=0, dy=1
